F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,GU_NAM,F_SHIM,geometry
2020년 7.28~8.11 호우,27.69,123.87,1135010300,20200728,20200811,10,16,침수,노원구 공릉동240-243,2020,2020,노원구,0.5,"POLYGON ((963205.3763866823 1957989.0968676805, 963200.2758059237 1957969.8022628406, 963196.5930857975 1957967.7106195027, 963189.3226430065 1957980.28549096, 963189.6494980191 1957980.4696847738, 963205.3763866823 1957989.0968676805))"
2020년 7.28~8.11 호우,17.55,36.0,1135010300,20200806,20200811,17,24,침수,노원구 공릉동571-5,2020,2020,노원구,0.5,"POLYGON ((962230.6547393802 1958185.0925124553, 962240.7351001651 1958187.7579495816, 962243.3406148696 1958177.6879039898, 962245.886232093 1958167.8211000455, 962233.815272256 1958164.7134056494, 962230.6547393802 1958185.0925124553))"
2020년 7.28~8.11 호우,18.68,66.0,1135010300,20200804,20200811,16,24,침수,노원구 공릉동383-13,2020,2020,노원구,0.5,"POLYGON ((962242.4274951238 1958563.0504245977, 962250.4473935897 1958567.1762550315, 962252.1714592286 1958568.0637595241, 962256.4623948405 1958559.1343273781, 962254.6882273596 1958558.22409766, 962246.9600074774 1958554.2466613739, 962242.4274951238 1958563.0504245977))"
2020년 7.28~8.11 호우,29.02,68.0,1135010300,20200806,20200811,12,24,침수,노원구 공릉동503-19,2020,2020,노원구,0.5,"POLYGON ((962607.8573715191 1958554.9087943018, 962621.6510030869 1958558.4541637446, 962624.2319356847 1958556.9310250746, 962626.17104743 1958549.373574918, 962610.3353231136 1958545.2892594025, 962607.8573715191 1958554.9087943018))"
2020년 7.28~8.11 호우,64.32,116.43,1135010500,20200728,20200811,16,22,기타,노원구 상계동49-13,2020,2020,노원구,0.5,"POLYGON ((963277.8482877427 1963640.8640507034, 963293.6358495379 1963640.5881815427, 963293.4219203485 1963630.9979471317, 963277.7745036234 1963631.3110566174, 963277.8482877427 1963640.8640507034))"
2020년 7.28~8.11 호우,28.09,71.0,1135010300,20200806,20200811,13,24,침수,노원구 공릉동509-25,2020,2020,노원구,0.5,"POLYGON ((962627.3029384731 1958451.9443444815, 962639.7553607676 1958455.1669635708, 962642.3235823781 1958445.22807021, 962629.8651678929 1958442.0064824428, 962629.369503032 1958443.9163950018, 962627.3029384731 1958451.9443444815))"
2020년 7.28~8.11 호우,20.28,113.0,1135010200,20200811,20200811,04,24,침수,노원구 월계동379-12,2020,2020,노원구,0.5,"POLYGON ((961235.4427590092 1958334.5909274714, 961246.2378152144 1958334.612562678, 961246.2291074556 1958332.4084378053, 961246.3379912484 1958326.7479878967, 961235.7913670419 1958325.3195616314, 961235.4427590092 1958334.5909274714))"
2020년 7.28~8.11 호우,28.79,170.0,1135010500,20200728,20200811,7,13,기타,노원구 상계동1118-21,2020,2020,노원구,0.5,"POLYGON ((960702.1906318411 1964149.9277540045, 960718.1957182165 1964149.9456079106, 960718.1612284828 1964139.135850328, 960701.9290898868 1964139.2801431573, 960702.1906318411 1964149.9277540045))"
2020년 7.28~8.11 호우,92.96,22.0,1135010600,20200728,20200811,16,22,기타,노원구 중계동22-27,2020,2020,노원구,0.5,"POLYGON ((963605.4493620292 1960264.243960797, 963598.580198774 1960264.2884557259, 963597.4171080362 1960273.4071856162, 963607.4299963621 1960275.4162032164, 963609.9325317477 1960265.3477134395, 963605.4493620292 1960264.243960797))"
2020년 7.28~8.11 호우,35.37,46.25,1135010600,20200803,20200811,16,24,침수,노원구 중계동158-14,2020,2020,노원구,0.5,"POLYGON ((962557.4966494595 1962231.970399444, 962570.590948698 1962227.690386879, 962570.7361245023 1962223.2203023199, 962558.2839928854 1962222.4997877027, 962557.8541725664 1962222.5030720052, 962557.4966494595 1962231.970399444))"
